"CTUID","CTNAME","BixiAccess","BusAccess","MetroAccess","TrainAccess","TrafficNoise","DriversPct","TransitPct","WalkingPct","CyclingPct","MinVisiblePct","PostSecPct","MedianHsldIncome"
"4620410.02","0410.02","0.0888250699333","225.425287553","43.7329646323","2.6916015014","1.3126263206","0.5259716102","0.369648867767","0.0609472585667","0.00143576493333","0.343269231","0.659893048","42680"
"4620073.00","0073.00","5.18177490758","182.092175985","57.002621896","2.72156572165","0.945294142365","0.455749843385","0.288248850038","0.07197207825","0.06705666325","0.28340081","0.533333333","27350"
"4620131.00","0131.00","12.9529228232","335.007030526","96.1517485279","3.17665772347","1.56687456326","0.162450610895","0.247970192789","0.523637530263","0.0161142358947","0.47029703","0.769094139","20325"
"4620515.04","0515.04","0","58.9932159216","0","0.037567064901","0.292127989505","0.730518974386","0.176750098158","0.00855823607921","0","0.39171123","0.62600321","68596"
"4620283.01","0283.01","0.0931910955729","138.835701987","10.9129482669","2.16344129458","1.81602585214","0.666151332375","0.264502346042","0.000810569615625","0","0.252717391","0.508143322","50281"
"4620416.02","0416.02","0","127.214313896","7.91903826085","2.24685740018","1.31122585629","0.612494109411","0.301124099932","0.00746185208219","0","0.484896661","0.531512605","51901"
"4620036.00","0036.00","10.2794882632","247.733656203","85.2864551035","0.964626869484","0.617989551032","0.299408676968","0.441963090839","0.0939428089677","0.114336070129","0.195928753","0.782122905","34235"
"4620237.00","0237.00","4.65276754009","275.244154434","163.325122776","1.2689790242","2.71858825939","0.388369442614","0.470358638977","0.0595373391136","0.0130940872727","0.140983607","0.754789272","46265"
"4620117.00","0117.00","2.30510531463","173.883089505","135.407188937","1.60718451921","0.878465967526","0.261170789316","0.508440366684","0.0942738631579","0.000594498947368","0.806220096","0.571860817","33419"
"4620584.00","0584.00","0","71.021050915","0.0417165668683","0.102524870246","0.991846151096","0.705356045545","0.189144753994","0.0240199961737","0","0.089393939","0.420123566","41551"
"4620286.00","0286.00","0.0163254047805","138.50566275","12.8477232749","2.19633860144","1.26638434087","0.535207497671","0.372421340585","0.00157667341463","0","0.575729069","0.584463625","39935"
"4620462.01","0462.01","0","48.2835341796","0","1.48683031706","0.678055686653","0.745262475616","0.174045117483","0.00639337715289","0","0.121031746","0.730769231","94630"
"4620034.00","0034.00","8.55499860617","229.542687775","150.426749841","0.522115381302","0.543665217132","0.322240386585","0.455495588358","0.125301054755","0.0271754090377","0.328","0.493181818","33072"
"4620450.00","0450.00","0","55.3145007041","0","0.64369101741","2.05133997721","0.639794363506","0.189750465423","0.0219680311763","0","0.081486776","0.710264901","70277"
"4620258.00","0258.00","1.0476603707","170.249995382","17.9939382882","0.3106734223","0.820183494","0.5267610674","0.39145842684","0.01069232844","0","0.726251277","0.42837274","37487"
"4620282.00","0282.00","0.149021432667","163.787779029","12.866302291","2.20655962864","0.764720297533","0.583517048567","0.293591507108","0.0304018752917","0.0138463954667","0.386634845","0.628131021","42340"
"4620264.01","0264.01","1.80508434479","144.57148578","29.663360373","0.698626643311","0.970508074444","0.540944053733","0.318603749767","0.0179782074111","0.0083549008","0.247093023","0.640732265","54852"
"4620383.01","0383.01","0.0806936624789","89.8450665093","4.73082577186","0.808128224606","0.138309066324","0.752524070282","0.14222368393","0.00469462105634","0","0.178333333","0.660337553","80987"
"4620197.00","0197.00","1.90079528179","172.958294757","22.9523986553","0.0373700933448","0.520733677603","0.54896068519","0.322957541966","0.0441447852586","0","0.25941873","0.566919192","36662"
"4620059.00","0059.00","12.983091717","322.756520238","251.276267172","2.7184775107","0.729593477755","0.155688096113","0.457494378208","0.280706956151","0.0594462500943","0.241635688","0.745098039","46014"
"4620511.01","0511.01","0","39.2993923313","0","1.43193140457","0.801751513142","0.541528415575","0.283160934398","0.00452281374779","0","0.279179811","0.650283554","72714"
"4620521.05","0521.05","0","49.2597805469","0","0.376509151667","0.20740488675","0.827395251567","0.1263373633","6.65809833333E-5","0","0.234243697","0.705570292","135551"
"4620279.00","0279.00","1.06627727521","335.564718145","100.500633397","1.43809740161","1.23327602087","0.477784499468","0.329001792809","0.0595168837021","0.000801442287234","0.228677379","0.696531792","46719"
"4620580.01","0580.01","0","68.6015470135","0","0.70101665391","0.966135888838","0.669877510144","0.23624439173","1.25405405405E-6","0","0.098765432","0.523529412","53053"
"4620593.02","0593.02","0.256908885403","161.062211876","25.5283982885","0","1.31568180084","0.516877040952","0.364954297323","0.0501435059194","0","0.292045455","0.521617852","44859"
"4620396.00","0396.00","0","84.6241473881","0","0.909688806762","0.278967850477","0.632097502192","0.233522433814","0.0182338637442","0","0.116117851","0.666324435","57551"
"4620325.01","0325.01","0.05791836968","162.968201616","9.11288859277","0.770582002187","0.982112846147","0.575208902707","0.327802511253","0.0261517903467","0","0.471389646","0.454697987","45888"
"4620007.00","0007.00","0.156958089116","206.865415647","52.8464294253","0","1.89201644665","0.487782741138","0.404457564862","0.0361945532063","0.00840917811005","0.20229682","0.527327935","45285"
"4620274.00","0274.00","0.493731768652","210.669003059","19.234055883","0.513993715087","0.555498132457","0.542866812196","0.386501225543","0.0128264329348","0.00342085667391","0.297697368","0.550695825","42779"
"4620195.03","0195.03","0.403939075866","172.809667206","16.9284550839","0.0125106530597","0.786043219537","0.547673142537","0.337401912478","0.0250435258657","0","0.267137097","0.563510393","48993"
"4620515.01","0515.01","0","28.3223910281","0","0","0.095802671691","0.756115035331","0.128969681388","0.0265777761348","0","0.297373358","0.668726823","88325"
